iter	RMSE
0	0.3041612238
1	0.3032506006
2	0.3021279549
3	0.3014646305
4	0.3007081388
5	0.2998575238
6	0.2991319635
7	0.2982930589
8	0.2976131147
9	0.2969675441
10	0.2964576164
11	0.2960452237
12	0.2957751125
13	0.2952436044
14	0.2948370962
15	0.2944766032
16	0.2943423855
17	0.2940801528
18	0.2936585487
19	0.2933227452
20	0.2929470968
21	0.2926924077
22	0.2925405843
23	0.2922265307
24	0.2919780833
25	0.2917289933
26	0.2914711297
27	0.2912888495
28	0.2911254476
29	0.2909631233
30	0.2907174312
31	0.2905113463
32	0.2902371999
33	0.2899781493
34	0.289754992
35	0.2894647658
36	0.2892357905
37	0.2891136265
38	0.288912856
39	0.2886622681
40	0.2885136241
41	0.2882799842
42	0.2882169775
43	0.2881209793
44	0.287904394
45	0.2878976817
46	0.287789417
47	0.2876675017
48	0.2875349017
49	0.2874179997
50	0.2873982807
51	0.2872700849
52	0.2872177417
53	0.2870346457
54	0.2869055986
55	0.2867777967
56	0.2866903677
57	0.2865969981
58	0.2865051028
59	0.2864406157
60	0.2863811687
61	0.2862622602
62	0.2861557484
63	0.286098093
64	0.2860180792
65	0.285897681
66	0.2858841718
67	0.2858614224
68	0.2857658799
69	0.2857474622
70	0.2857377984
71	0.2857150585
72	0.285696249
73	0.2856880469
74	0.2856042126
75	0.2855381987
76	0.2855203473
77	0.2854731475
78	0.2853931123
79	0.2852688278
80	0.2852127378
81	0.2851351273
82	0.2851320741
83	0.28512627
84	0.2850705405
85	0.2849902674
86	0.2849134842
87	0.2849020649
88	0.2848708317
89	0.2848687602
90	0.2848119125
91	0.284752772
92	0.2847438917
93	0.2847214722
94	0.2846942881
95	0.2846295344
96	0.2845993286
97	0.2845817146
98	0.2845326171
99	0.2844984408
100	0.2844740636
101	0.284470779
102	0.2844164054
103	0.2843692149
104	0.2843456574
105	0.2843000476
106	0.2842606556
107	0.2842237031
108	0.284161312
109	0.2841068279
110	0.2840990711
111	0.2840786724
112	0.2840402368
113	0.2839866597
114	0.2839351925
115	0.2838678026
116	0.2838446607
117	0.2838008467
118	0.2837556945
