iter	Passed	Remaining
0	1	4485
1	2	3059
2	2	2582
3	2	2174
4	3	2007
5	3	1924
6	4	1865
7	4	1818
8	5	1799
9	5	1763
10	6	1726
11	6	1673
12	7	1634
13	7	1617
14	8	1604
15	8	1591
16	8	1543
17	9	1523
18	9	1517
19	10	1510
20	10	1505
21	11	1496
22	11	1470
23	11	1464
24	12	1462
25	12	1458
26	13	1456
27	13	1449
28	14	1443
29	14	1442
30	15	1441
31	15	1441
32	16	1439
33	16	1440
34	17	1441
35	17	1441
36	17	1439
37	18	1440
38	18	1439
39	19	1440
40	19	1439
41	20	1439
42	20	1431
43	21	1425
44	21	1426
45	22	1417
46	22	1416
47	23	1416
48	23	1416
49	24	1416
50	24	1403
51	24	1403
52	25	1397
53	25	1397
54	26	1395
55	26	1394
56	27	1396
57	27	1393
58	27	1393
59	28	1390
60	28	1387
61	29	1387
62	29	1386
63	30	1385
64	30	1385
65	31	1385
66	31	1378
67	31	1372
68	32	1371
69	32	1366
70	32	1359
71	33	1355
72	33	1350
73	33	1343
74	34	1344
75	34	1344
76	35	1340
77	35	1338
78	36	1337
79	36	1339
80	37	1339
81	37	1340
82	37	1332
83	38	1327
84	38	1327
85	39	1327
86	39	1326
87	39	1323
88	40	1322
89	40	1315
90	41	1315
91	41	1315
92	41	1312
93	42	1308
94	42	1305
95	43	1306
96	43	1304
97	44	1304
98	44	1304
99	44	1302
100	45	1302
101	45	1297
102	46	1296
103	46	1295
104	46	1295
105	47	1295
106	48	1300
107	48	1300
108	49	1300
109	49	1301
110	49	1297
111	50	1294
112	50	1294
113	51	1295
114	51	1296
115	52	1297
116	52	1296
117	53	1296
118	53	1296
119	54	1296
120	54	1293
121	54	1293
122	55	1293
123	55	1293
124	56	1290
125	56	1290
126	56	1286
127	57	1287
128	57	1287
129	58	1288
130	58	1288
131	59	1283
132	59	1279
133	59	1280
134	60	1280
135	60	1280
136	61	1280
137	61	1281
138	62	1282
139	62	1281
140	62	1277
141	63	1277
142	63	1275
143	64	1273
144	64	1270
145	65	1271
146	65	1269
147	65	1269
148	66	1268
149	66	1268
150	67	1268
151	67	1267
152	68	1267
153	68	1268
154	69	1266
155	69	1264
156	69	1263
157	70	1263
158	70	1264
159	71	1264
160	71	1265
161	72	1265
162	72	1265
163	73	1265
164	73	1266
165	74	1266
166	74	1266
167	75	1267
168	75	1267
169	76	1267
170	76	1266
171	76	1264
172	77	1264
173	77	1265
174	78	1263
175	78	1263
176	79	1263
177	79	1264
178	80	1262
179	80	1263
180	81	1263
181	81	1263
182	81	1261
183	82	1261
184	82	1260
185	83	1260
186	83	1260
187	84	1260
188	84	1260
189	85	1259
190	85	1258
191	86	1258
192	86	1258
193	86	1258
194	87	1258
195	87	1258
196	88	1258
197	88	1257
198	89	1257
199	89	1257
200	90	1256
201	90	1256
202	91	1256
203	91	1256
204	92	1254
205	92	1253
206	92	1252
207	93	1251
208	93	1251
209	94	1249
210	94	1248
211	94	1248
212	95	1248
213	95	1248
214	96	1247
215	96	1248
216	97	1247
217	97	1247
218	98	1246
219	98	1247
220	98	1244
221	99	1244
222	99	1244
223	100	1244
224	100	1243
225	101	1243
226	101	1243
227	102	1242
228	102	1242
229	103	1242
230	103	1242
231	104	1241
232	104	1240
233	105	1242
234	105	1242
235	107	1254
236	107	1254
237	108	1253
238	108	1253
239	109	1253
240	109	1253
241	109	1252
242	110	1252
243	110	1251
244	111	1251
245	111	1249
246	112	1248
247	112	1248
248	112	1247
249	113	1247
250	113	1247
251	114	1247
252	114	1246
253	115	1246
254	115	1246
255	116	1246
256	116	1246
257	117	1246
258	117	1245
259	118	1245
260	118	1245
261	119	1244
262	119	1244
263	120	1244
264	120	1243
265	120	1243
266	121	1243
267	121	1242
268	122	1242
269	122	1242
270	123	1241
271	123	1241
272	124	1240
273	124	1240
274	125	1240
275	125	1239
276	126	1239
277	126	1239
278	127	1238
279	127	1238
280	127	1238
281	128	1237
282	128	1237
283	129	1237
284	129	1236
285	130	1236
286	130	1235
287	131	1235
288	131	1234
289	132	1234
290	132	1234
