date,day_high_f,night_low_f
2023-01-01,27.0,23.0
2023-01-02,27.0,22.0
2023-01-03,31.0,24.0
2023-01-04,33.0,30.0
2023-01-05,30.0,18.0
2023-01-06,19.0,5.0
2023-01-07,21.0,0.0
2023-01-08,25.0,0.0
2023-01-09,32.0,8.0
2023-01-10,28.0,19.0
2023-01-11,34.0,26.0
2023-01-12,32.0,19.0
2023-01-13,20.0,13.0
2023-01-14,31.0,13.0
2023-01-15,37.0,29.0
2023-01-16,37.0,32.0
2023-01-17,35.0,31.0
2023-01-18,33.0,28.0
2023-01-19,32.0,27.0
2023-01-20,27.0,18.0
2023-01-21,24.0,17.0
2023-01-22,21.0,15.0
2023-01-23,31.0,11.0
2023-01-24,29.0,14.0
2023-01-25,28.0,16.0
2023-01-26,16.0,2.0
2023-01-27,33.0,6.0
2023-01-28,7.0,2.0
2023-01-29,6.0,-5.0
2023-01-30,2.0,-8.0
2023-01-31,10.0,-8.0
2023-02-01,2.0,3.0
2023-02-02,15.0,-9.0
2023-02-03,4.0,-13.0
2023-02-04,28.0,2.0
2023-02-05,31.0,14.0
2023-02-06,36.0,14.0
2023-02-07,35.0,27.0
2023-02-08,45.0,21.0
2023-02-09,38.0,19.0
2023-02-10,29.0,8.0
2023-02-11,39.0,28.0
2023-02-12,43.0,20.0
2023-02-13,43.0,24.0
2023-02-14,43.0,35.0
2023-02-15,38.0,16.0
2023-02-16,20.0,12.0
2023-02-17,29.0,6.0
2023-02-18,36.0,22.0
2023-02-19,35.0,18.0
2023-02-20,35.0,10.0
2023-02-21,15.0,3.0
2023-02-22,21.0,14.0
2023-02-23,18.0,0.0
2023-02-24,11.0,-8.0
2023-02-25,26.0,3.0
2023-02-26,33.0,5.0
2023-02-27,34.0,28.0
2023-02-28,40.0,20.0
2023-03-01,2.0,3.0
2023-03-02,28.0,17.0
2023-03-03,42.0,22.0
2023-03-04,38.0,23.0
2023-03-05,38.0,19.0
2023-03-06,36.0,29.0
2023-03-07,39.0,27.0
2023-03-08,35.0,32.0
2023-03-09,34.0,29.0
2023-03-10,33.0,26.0
